YEAR,MONTH,STATE,FLIGHTS_TOTAL
2018,1,Alabama,6819.0
2018,1,Alaska,64568.0
2018,1,Alberta,3750.0
2018,1,Arizona,38847.0
2018,1,Arkansas,5225.0
2018,1,British Columbia,5564.0
2018,1,California,152136.0
2018,1,Colorado,52045.0
2018,1,Connecticut,5819.0
2018,1,Delaware,19.0
2018,1,Florida,106634.0
2018,1,Georgia,65515.0
2018,1,Hawaii,30985.0
2018,1,Idaho,6039.0
2018,1,Illinois,81557.0
2018,1,Indiana,14215.0
2018,1,Iowa,5956.0
2018,1,Kansas,3006.0
2018,1,Kentucky,23133.0
2018,1,Louisiana,13927.0
2018,1,Maine,3368.0
2018,1,Manitoba,678.0
2018,1,Maryland,19217.0
2018,1,Massachusetts,28150.0
2018,1,Michigan,37418.0
2018,1,Minnesota,28964.0
2018,1,Mississippi,2850.0
2018,1,Missouri,25740.0
2018,1,Montana,6620.0
2018,1,Nebraska,5971.0
2018,1,Nevada,33027.0
2018,1,New Brunswick,10.0
2018,1,New Hampshire,2406.0
2018,1,New Jersey,29313.0
2018,1,New Mexico,6549.0
2018,1,New York,68184.0
2018,1,Newfoundland and Labrador,20.0
2018,1,North Carolina,55468.0
2018,1,North Dakota,3784.0
2018,1,Nova Scotia,370.0
2018,1,Ohio,21115.0
2018,1,Oklahoma,7320.0
2018,1,Ontario,16049.0
2018,1,Oregon,20309.0
2018,1,Pennsylvania,41508.0
2018,1,Puerto Rico,8878.0
2018,1,Quebec,5067.0
2018,1,Rhode Island,4019.0
2018,1,Saskatchewan,211.0
2018,1,South Carolina,8943.0
2018,1,South Dakota,2839.0
2018,1,Tennessee,31553.0
2018,1,Texas,128110.0
2018,1,U.S. Pacific Trust Territories and Possessions,5073.0
2018,1,U.S. Virgin Islands,3865.0
2018,1,Utah,21497.0
2018,1,Vermont,1933.0
2018,1,Virginia,49008.0
2018,1,Washington,40382.0
2018,1,West Virginia,1951.0
2018,1,Wisconsin,12122.0
2018,1,Wyoming,2358.0
2018,2,Alabama,6417.0
2018,2,Alaska,52547.0
2018,2,Alberta,3424.0
2018,2,Arizona,35614.0
2018,2,Arkansas,4794.0
2018,2,British Columbia,4930.0
2018,2,California,137575.0
2018,2,Colorado,46768.0
2018,2,Connecticut,5554.0
2018,2,Delaware,16.0
2018,2,Florida,101467.0
2018,2,Georgia,61921.0
2018,2,Hawaii,27918.0
2018,2,Idaho,5457.0
2018,2,Illinois,71399.0
2018,2,Indiana,13266.0
2018,2,Iowa,5391.0
2018,2,Kansas,2797.0
2018,2,Kentucky,21525.0
2018,2,Louisiana,13410.0
2018,2,Maine,3184.0
2018,2,Manitoba,624.0
2018,2,Maryland,17088.0
2018,2,Massachusetts,27393.0
2018,2,Michigan,33860.0
2018,2,Minnesota,27616.0
2018,2,Mississippi,2695.0
2018,2,Missouri,23080.0
2018,2,Montana,5981.0
2018,2,Nebraska,5506.0
2018,2,Nevada,29523.0
2018,2,New Brunswick,13.0
2018,2,New Hampshire,2312.0
2018,2,New Jersey,27917.0
2018,2,New Mexico,5786.0
2018,2,New York,65993.0
2018,2,Newfoundland and Labrador,12.0
2018,2,North Carolina,52686.0
2018,2,North Dakota,3596.0
2018,2,Nova Scotia,366.0
2018,2,Nunavut Territory,2.0
2018,2,Ohio,20094.0
2018,2,Oklahoma,6543.0
2018,2,Ontario,15141.0
2018,2,Oregon,17787.0
2018,2,Pennsylvania,38667.0
2018,2,Puerto Rico,9020.0
2018,2,Quebec,4878.0
2018,2,Rhode Island,3807.0
2018,2,Saskatchewan,199.0
2018,2,South Carolina,8894.0
2018,2,South Dakota,2600.0
2018,2,Tennessee,30052.0
2018,2,Texas,118138.0
2018,2,U.S. Pacific Trust Territories and Possessions,5320.0
2018,2,U.S. Virgin Islands,3679.0
2018,2,Utah,19659.0
2018,2,Vermont,1758.0
2018,2,Virginia,46425.0
2018,2,Washington,35634.0
2018,2,West Virginia,1838.0
2018,2,Wisconsin,11109.0
2018,2,Wyoming,2119.0
2018,3,Alabama,7507.0
2018,3,Alaska,65386.0
2018,3,Alberta,4072.0
2018,3,Arizona,43404.0
2018,3,Arkansas,5813.0
2018,3,British Columbia,5805.0
2018,3,California,157064.0
2018,3,Colorado,54732.0
2018,3,Connecticut,6057.0
2018,3,Delaware,14.0
2018,3,Florida,119641.0
2018,3,Georgia,74178.0
2018,3,Hawaii,31773.0
2018,3,Idaho,6384.0
2018,3,Illinois,87454.0
2018,3,Indiana,15740.0
2018,3,Iowa,6326.0
2018,3,Kansas,3194.0
2018,3,Kentucky,24803.0
2018,3,Louisiana,15382.0
2018,3,Maine,3433.0
2018,3,Manitoba,704.0
2018,3,Maryland,19600.0
2018,3,Massachusetts,29491.0
2018,3,Michigan,41065.0
2018,3,Minnesota,33344.0
2018,3,Mississippi,3035.0
2018,3,Missouri,27639.0
2018,3,Montana,6947.0
2018,3,Nebraska,6662.0
2018,3,Nevada,34589.0
2018,3,New Brunswick,32.0
2018,3,New Hampshire,2507.0
2018,3,New Jersey,30481.0
2018,3,New Mexico,6925.0
2018,3,New York,72026.0
2018,3,Newfoundland and Labrador,31.0
2018,3,North Carolina,59961.0
2018,3,North Dakota,4192.0
2018,3,Northwest Territories,10.0
2018,3,Nova Scotia,466.0
2018,3,Ohio,23595.0
2018,3,Oklahoma,7656.0
2018,3,Ontario,17744.0
2018,3,Oregon,21524.0
2018,3,Pennsylvania,42043.0
2018,3,Puerto Rico,10194.0
2018,3,Quebec,5751.0
2018,3,Rhode Island,4146.0
2018,3,Saskatchewan,214.0
2018,3,South Carolina,10861.0
2018,3,South Dakota,3059.0
2018,3,Tennessee,34583.0
2018,3,Texas,136553.0
2018,3,U.S. Pacific Trust Territories and Possessions,5688.0
2018,3,U.S. Virgin Islands,4234.0
2018,3,Utah,23276.0
2018,3,Vermont,1884.0
2018,3,Virginia,51408.0
2018,3,Washington,43076.0
2018,3,West Virginia,2110.0
2018,3,Wisconsin,13434.0
2018,3,Wyoming,2490.0
2018,3,Yukon Territory,2.0
2018,4,Alabama,7541.0
2018,4,Alaska,69000.0
2018,4,Alberta,3861.0
2018,4,Arizona,39358.0
2018,4,Arkansas,5841.0
2018,4,British Columbia,5585.0
2018,4,California,156363.0
2018,4,Colorado,50584.0
2018,4,Connecticut,6358.0
2018,4,Delaware,11.0
2018,4,Florida,108785.0
2018,4,Georgia,72651.0
2018,4,Hawaii,29887.0
2018,4,Idaho,5960.0
2018,4,Illinois,87296.0
2018,4,Indiana,15004.0
2018,4,Iowa,5869.0
2018,4,Kansas,3189.0
2018,4,Kentucky,24453.0
2018,4,Louisiana,14828.0
2018,4,Maine,4061.0
2018,4,Manitoba,647.0
2018,4,Maryland,20741.0
2018,4,Massachusetts,33286.0
2018,4,Michigan,39226.0
2018,4,Minnesota,31430.0
2018,4,Mississippi,3092.0
2018,4,Missouri,26991.0
2018,4,Montana,6374.0
2018,4,Nebraska,6307.0
2018,4,Nevada,34124.0
2018,4,New Brunswick,25.0
2018,4,New Hampshire,2811.0
2018,4,New Jersey,31743.0
2018,4,New Mexico,6904.0
2018,4,New York,74736.0
2018,4,Newfoundland and Labrador,29.0
2018,4,North Carolina,60730.0
2018,4,North Dakota,4111.0
2018,4,Northwest Territories,3.0
2018,4,Nova Scotia,494.0
2018,4,Ohio,23290.0
2018,4,Oklahoma,7556.0
2018,4,Ontario,16428.0
2018,4,Oregon,21362.0
