State,StateCode,Year,Month,NDVI
Alaska,AK,2015.0,1.0,0.01843794784905917
Alaska,AK,2015.0,2.0,0.08674311761050207
Alaska,AK,2015.0,3.0,0.1054921891312765
Alaska,AK,2015.0,4.0,0.18140669348574817
Alaska,AK,2015.0,5.0,0.4771768679567332
Alaska,AK,2015.0,6.0,0.5906059571020651
Alaska,AK,2015.0,7.0,0.6528710182084266
Alaska,AK,2015.0,8.0,0.6258904002515061
Alaska,AK,2015.0,9.0,0.5315150847819243
Alaska,AK,2015.0,10.0,0.3294758736399347
Alaska,AK,2015.0,11.0,0.04804225334148147
Alaska,AK,2015.0,12.0,0.015955276180343276
Alaska,AK,2016.0,1.0,0.009225710323226386
Alaska,AK,2016.0,2.0,0.07170120427957787
Alaska,AK,2016.0,3.0,0.08626236897188506
Alaska,AK,2016.0,4.0,0.21464296468628738
Alaska,AK,2016.0,5.0,0.4625931276749597
Alaska,AK,2016.0,6.0,0.5857898090237454
Alaska,AK,2016.0,7.0,0.6537167648836674
Alaska,AK,2016.0,8.0,0.6239850668403372
Alaska,AK,2016.0,9.0,0.5469834007920563
Alaska,AK,2016.0,10.0,0.45785890592015943
Alaska,AK,2016.0,11.0,0.1882309898253317
Alaska,AK,2016.0,12.0,0.06330334104885146
Alaska,AK,2017.0,1.0,0.005013331886095609
Alaska,AK,2017.0,2.0,0.04673331040671903
Alaska,AK,2017.0,3.0,0.05722109790998113
Alaska,AK,2017.0,4.0,0.2082038444422934
Alaska,AK,2017.0,5.0,0.42373326457619487
Alaska,AK,2017.0,6.0,0.5781226014383052
Alaska,AK,2017.0,7.0,0.6619255584504405
Alaska,AK,2017.0,8.0,0.6433086665356715
Alaska,AK,2017.0,9.0,0.5317728400350809
Alaska,AK,2017.0,10.0,0.40318094083967165
Alaska,AK,2017.0,11.0,0.10603286409743298
Alaska,AK,2017.0,12.0,0.02278251760264231
Alaska,AK,2018.0,1.0,0.0019237572548361091
Alaska,AK,2018.0,2.0,0.04469264382102177
Alaska,AK,2018.0,3.0,0.05349661112565138
Alaska,AK,2018.0,4.0,0.10316705606216092
Alaska,AK,2018.0,5.0,0.38949557341198954
Alaska,AK,2018.0,6.0,0.5631455932712561
Alaska,AK,2018.0,7.0,0.6543764698925416
Alaska,AK,2018.0,8.0,0.6456298205588947
Alaska,AK,2018.0,9.0,0.5495063283787771
Alaska,AK,2018.0,10.0,0.4732153296768633
Alaska,AK,2018.0,11.0,0.11113616141307286
Alaska,AK,2018.0,12.0,0.03684958832393152
Alaska,AK,2019.0,1.0,0.007234376948504066
Alaska,AK,2019.0,2.0,0.05822158777614176
Alaska,AK,2019.0,3.0,0.0874206957111243
Alaska,AK,2019.0,4.0,0.1412278155299215
Alaska,AK,2019.0,5.0,0.46183794027596736
Alaska,AK,2019.0,6.0,0.6088861723608672
Alaska,AK,2019.0,7.0,0.6687745680218704
Alaska,AK,2019.0,8.0,0.6343351272303308
Alaska,AK,2019.0,9.0,0.5329670610559126
Alaska,AK,2019.0,10.0,0.3581112665036144
Alaska,AK,2019.0,11.0,0.0948305179009928
Alaska,AK,2019.0,12.0,0.02818926320718562
Alaska,AK,2020.0,1.0,-0.02305596363734027
Alaska,AK,2020.0,2.0,0.027227815641808723
Alaska,AK,2020.0,3.0,0.045695908371140154
Alaska,AK,2020.0,4.0,0.13463164225724242
Alaska,AK,2020.0,5.0,0.4410830374269567
Alaska,AK,2020.0,6.0,0.5887054288369931
Alaska,AK,2020.0,7.0,0.654398947162435
Alaska,AK,2020.0,8.0,0.6319476702189086
Alaska,AK,2020.0,9.0,0.5408651883777126
Alaska,AK,2020.0,10.0,0.4293167223562806
Alaska,AK,2020.0,11.0,0.09724826737199119
Alaska,AK,2020.0,12.0,0.03613294927850579
Alaska,AK,2021.0,1.0,-0.014708204106297406
Alaska,AK,2021.0,2.0,0.03737179942007627
Alaska,AK,2021.0,3.0,0.04645843205589206
Alaska,AK,2021.0,4.0,0.11143985556758938
Alaska,AK,2021.0,5.0,0.39366878293735
Alaska,AK,2021.0,6.0,0.5711245441742778
Alaska,AK,2021.0,7.0,0.6654808288600348
Alaska,AK,2021.0,8.0,0.6504665180438373
Alaska,AK,2021.0,9.0,0.5497209157439018
Alaska,AK,2021.0,10.0,0.2835253261192728
Alaska,AK,2021.0,11.0,0.02660697885113326
Alaska,AK,2021.0,12.0,0.003005188202326749
Alaska,AK,2022.0,1.0,-0.003749688748230049
Alaska,AK,2022.0,2.0,0.04370082430632193
Alaska,AK,2022.0,3.0,0.058172869493489945
Alaska,AK,2022.0,4.0,0.09886462099529557
Alaska,AK,2022.0,5.0,0.405393761456559
Alaska,AK,2022.0,6.0,0.5781384703447994
Alaska,AK,2022.0,7.0,0.6535225074583123
Alaska,AK,2022.0,8.0,0.6332328188975821
Alaska,AK,2022.0,9.0,0.5211100518889764
Alaska,AK,2022.0,10.0,0.39289886345736
Alaska,AK,2022.0,11.0,0.04380371102922788
Alaska,AK,2022.0,12.0,0.026978207091260756
Alaska,AK,2023.0,1.0,-0.016748070636271855
Alaska,AK,2023.0,2.0,0.03199134237781277
Alaska,AK,2023.0,3.0,0.04678958222987422
Alaska,AK,2023.0,4.0,0.0511752376223535
Alaska,AK,2023.0,5.0,0.36589553755743454
Alaska,AK,2023.0,6.0,0.553695902455344
Alaska,AK,2023.0,7.0,0.6608818699914865
Alaska,AK,2023.0,8.0,0.6611022332279535
Alaska,AK,2023.0,9.0,0.5408734450572459
Alaska,AK,2023.0,10.0,0.3869493668584743
Alaska,AK,2023.0,11.0,0.058742841553548114
Alaska,AK,2023.0,12.0,0.014769660319430049
Alaska,AK,2024.0,1.0,-0.017711811148056505
Alaska,AK,2024.0,2.0,0.03697655589210053
Alaska,AK,2024.0,3.0,0.05135508923342461
Alaska,AK,2024.0,4.0,0.10886281569866692
Alaska,AK,2024.0,5.0,0.3402175594860967
Alaska,AK,2024.0,6.0,0.5750900992286829
Alaska,AK,2024.0,7.0,0.6611861089920337
Alaska,AK,2024.0,8.0,0.6448614491528241
Alaska,AK,2024.0,9.0,0.5498746851434396
Alaska,AK,2024.0,10.0,0.45275603095427164
Alaska,AK,2024.0,11.0,0.04736762248872243
Alaska,AK,2024.0,12.0,0.03762822085823327
Alabama,AL,2015.0,1.0,0.550095987479447
Alabama,AL,2015.0,2.0,0.5396616171969455
Alabama,AL,2015.0,3.0,0.5545220681352829
Alabama,AL,2015.0,4.0,0.6955252884148013
Alabama,AL,2015.0,5.0,0.769555055683758
Alabama,AL,2015.0,6.0,0.7901911081497901
Alabama,AL,2015.0,7.0,0.7996104454358738
Alabama,AL,2015.0,8.0,0.8038057461991379
Alabama,AL,2015.0,9.0,0.7795628002855215
Alabama,AL,2015.0,10.0,0.7138187277396051
Alabama,AL,2015.0,11.0,0.65117511090033
Alabama,AL,2015.0,12.0,0.6175435318979469
Alabama,AL,2016.0,1.0,0.5810723714537591
Alabama,AL,2016.0,2.0,0.5579297274974182
Alabama,AL,2016.0,3.0,0.5579378259057086
Alabama,AL,2016.0,4.0,0.6879005716619054
Alabama,AL,2016.0,5.0,0.773290369476397
Alabama,AL,2016.0,6.0,0.7822742782603546
Alabama,AL,2016.0,7.0,0.7940759795644996
Alabama,AL,2016.0,8.0,0.8000349962413249
Alabama,AL,2016.0,9.0,0.7682587662242165
Alabama,AL,2016.0,10.0,0.6996570476534254
Alabama,AL,2016.0,11.0,0.6140528897957463
Alabama,AL,2016.0,12.0,0.559917049363048
Alabama,AL,2017.0,1.0,0.5528736625335324
Alabama,AL,2017.0,2.0,0.5470972573670005
Alabama,AL,2017.0,3.0,0.5822269691431282
Alabama,AL,2017.0,4.0,0.6959938264127847
Alabama,AL,2017.0,5.0,0.7795889176491304
Alabama,AL,2017.0,6.0,0.7949581286422777
Alabama,AL,2017.0,7.0,0.8049553561292199
Alabama,AL,2017.0,8.0,0.8039747531768836
Alabama,AL,2017.0,9.0,0.7778420586036275
Alabama,AL,2017.0,10.0,0.7330538427699569
Alabama,AL,2017.0,11.0,0.6521596187859762
Alabama,AL,2017.0,12.0,0.5848929188395603
Alabama,AL,2018.0,1.0,0.5525177987631849
Alabama,AL,2018.0,2.0,0.541535796006333
Alabama,AL,2018.0,3.0,0.5658816284838897
Alabama,AL,2018.0,4.0,0.679999280970668
Alabama,AL,2018.0,5.0,0.761964508127233
Alabama,AL,2018.0,6.0,0.7869411777150339
Alabama,AL,2018.0,7.0,0.8107450821770403
Alabama,AL,2018.0,8.0,0.7991720893348996
Alabama,AL,2018.0,9.0,0.7808037612938035
Alabama,AL,2018.0,10.0,0.7512073352702755
Alabama,AL,2018.0,11.0,0.6811716905093432
Alabama,AL,2018.0,12.0,0.59648979641443
Alabama,AL,2019.0,1.0,0.588492428119864
Alabama,AL,2019.0,2.0,0.5842994352726277
Alabama,AL,2019.0,3.0,0.5844487297928705
Alabama,AL,2019.0,4.0,0.6979815436634915
Alabama,AL,2019.0,5.0,0.7794117163510436
Alabama,AL,2019.0,6.0,0.7802594398351052
Alabama,AL,2019.0,7.0,0.7981260437703642
