year,month,state,vmt
2004,4,Connecticut,2633.0
2004,4,Maine,1217.0
2004,4,Massachusetts,4388.0
2004,4,New Hampshire,1035.0
2004,4,New Jersey,5812.0
2004,4,New York,10580.0
2004,4,Pennsylvania,8627.0
2004,4,Rhode Island,655.0
2004,4,Vermont,567.0
2004,4,Delaware,770.0
2004,4,District of Columbia,301.0
2004,4,Florida,15704.0
2004,4,Georgia,9738.0
2004,4,Maryland,4565.0
2004,4,North Carolina,8308.0
2004,4,South Carolina,4301.0
2004,4,Virginia,6863.0
2004,4,West Virginia,1736.0
2004,4,Illinois,9193.0
2004,4,Indiana,6494.0
2004,4,Iowa,2675.0
2004,4,Kansas,2399.0
2004,4,Michigan,8346.0
2004,4,Minnesota,4686.0
2004,4,Missouri,5430.0
2004,4,Nebraska,1603.0
2004,4,North Dakota,636.0
2004,4,Ohio,9222.0
2004,4,South Dakota,704.0
2004,4,Wisconsin,4985.0
2004,4,Alabama,5158.0
2004,4,Arkansas,2488.0
2004,4,Kentucky,4047.0
2004,4,Louisiana,3633.0
2004,4,Mississippi,3287.0
2004,4,Oklahoma,3873.0
2004,4,Tennessee,5881.0
2004,4,Texas,18766.0
2004,4,Alaska,462.0
2004,4,Arizona,4835.0
2004,4,California,28583.0
2004,4,Colorado,3666.0
2004,4,Hawaii,752.0
2004,4,Idaho,1170.0
2004,4,Montana,926.0
2004,4,Nevada,1557.0
2004,4,New Mexico,1877.0
2004,4,Oregon,2847.0
2004,4,Utah,2148.0
2004,4,Washington,4582.0
2004,4,Wyoming,711.0
2004,8,Connecticut,2846.0
2004,8,Maine,1383.0
2004,8,Massachusetts,4710.0
2004,8,New Hampshire,1282.0
2004,8,New Jersey,5859.0
2004,8,New York,12299.0
2004,8,Pennsylvania,9907.0
2004,8,Rhode Island,794.0
2004,8,Vermont,694.0
2004,8,Delaware,901.0
2004,8,District of Columbia,384.0
2004,8,Florida,16009.0
2004,8,Georgia,9213.0
2004,8,Maryland,4952.0
2004,8,North Carolina,8173.0
2004,8,South Carolina,4175.0
2004,8,Virginia,7006.0
2004,8,West Virginia,1829.0
2004,8,Illinois,9590.0
2004,8,Indiana,6084.0
2004,8,Iowa,2822.0
2004,8,Kansas,2527.0
2004,8,Michigan,8719.0
2004,8,Minnesota,5334.0
2004,8,Missouri,6266.0
2004,8,Nebraska,1764.0
2004,8,North Dakota,737.0
2004,8,Ohio,9691.0
2004,8,South Dakota,889.0
2004,8,Wisconsin,5670.0
2004,8,Alabama,5229.0
2004,8,Arkansas,2716.0
2004,8,Kentucky,4157.0
2004,8,Louisiana,4148.0
2004,8,Mississippi,3238.0
2004,8,Oklahoma,4306.0
2004,8,Tennessee,6177.0
2004,8,Texas,19795.0
2004,8,Alaska,485.0
2004,8,Arizona,4105.0
