,Residence State,Residence State Code,Month,Month Code,UCD - ICD Sub-Chapter,UCD - ICD Sub-Chapter Code,Underlying Cause of death,Underlying Cause of death Code,Deaths
0,Alabama,1,"Jan., 2018",2018/01,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,42
1,Alabama,1,"Jan., 2018",2018/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,18
2,Alabama,1,"Jan., 2018",2018/01,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,354
3,Alabama,1,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,19
4,Alabama,1,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,11
5,Alabama,1,"Feb., 2018",2018/02,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,229
6,Alabama,1,"Mar., 2018",2018/03,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,33
7,Alabama,1,"Mar., 2018",2018/03,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,251
8,Alabama,1,"Apr., 2018",2018/04,Chronic lower respiratory diseases,J40-J47,"Emphysema, unspecified",J43.9,10
9,Alabama,1,"Apr., 2018",2018/04,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
10,Alabama,1,"Apr., 2018",2018/04,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,275
11,Alabama,1,"May, 2018",2018/05,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,26
12,Alabama,1,"May, 2018",2018/05,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,279
13,Alabama,1,"Jun., 2018",2018/06,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,21
14,Alabama,1,"Jun., 2018",2018/06,Chronic lower respiratory diseases,J40-J47,"Chronic obstructive pulmonary disease, unspecified",J44.9,230
15,Alabama,1,"Jul., 2018",2018/07,Chronic lower respiratory diseases,J40-J47,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,16
