,Residence State,Residence State Code,Month,Month Code,Underlying Cause of death,Underlying Cause of death Code,Deaths,UCD - ICD Sub-Chapter,UCD - ICD Sub-Chapter Code
0,Alabama,1,"Jan., 2018",2018/01,0,0,544,Ischaemic heart diseases,I20-I25
1,Alabama,1,"Jan., 2018",2018/01,Acute subendocardial myocardial infarction,I21.4,14,0,0
2,Alabama,1,"Jan., 2018",2018/01,"Acute myocardial infarction, unspecified",I21.9,175,0,0
3,Alabama,1,"Jan., 2018",2018/01,"Atherosclerotic cardiovascular disease, so described",I25.0,79,0,0
4,Alabama,1,"Jan., 2018",2018/01,Atherosclerotic heart disease,I25.1,157,0,0
5,Alabama,1,"Jan., 2018",2018/01,Ischaemic cardiomyopathy,I25.5,23,0,0
6,Alabama,1,"Jan., 2018",2018/01,"Chronic ischaemic heart disease, unspecified",I25.9,93,0,0
7,Alabama,1,"Feb., 2018",2018/02,0,0,407,Ischaemic heart diseases,I20-I25
8,Alabama,1,"Feb., 2018",2018/02,Acute subendocardial myocardial infarction,I21.4,10,0,0
9,Alabama,1,"Feb., 2018",2018/02,"Acute myocardial infarction, unspecified",I21.9,120,0,0
10,Alabama,1,"Feb., 2018",2018/02,"Atherosclerotic cardiovascular disease, so described",I25.0,71,0,0
11,Alabama,1,"Feb., 2018",2018/02,Atherosclerotic heart disease,I25.1,135,0,0
12,Alabama,1,"Feb., 2018",2018/02,Ischaemic cardiomyopathy,I25.5,15,0,0
13,Alabama,1,"Feb., 2018",2018/02,"Chronic ischaemic heart disease, unspecified",I25.9,52,0,0
14,Alabama,1,"Mar., 2018",2018/03,0,0,442,Ischaemic heart diseases,I20-I25
15,Alabama,1,"Mar., 2018",2018/03,"Acute myocardial infarction, unspecified",I21.9,138,0,0
16,Alabama,1,"Mar., 2018",2018/03,"Atherosclerotic cardiovascular disease, so described",I25.0,66,0,0
17,Alabama,1,"Mar., 2018",2018/03,Atherosclerotic heart disease,I25.1,132,0,0
18,Alabama,1,"Mar., 2018",2018/03,Ischaemic cardiomyopathy,I25.5,16,0,0
19,Alabama,1,"Mar., 2018",2018/03,"Chronic ischaemic heart disease, unspecified",I25.9,78,0,0
20,Alabama,1,"Apr., 2018",2018/04,0,0,426,Ischaemic heart diseases,I20-I25
21,Alabama,1,"Apr., 2018",2018/04,Acute subendocardial myocardial infarction,I21.4,11,0,0
22,Alabama,1,"Apr., 2018",2018/04,"Acute myocardial infarction, unspecified",I21.9,132,0,0
23,Alabama,1,"Apr., 2018",2018/04,"Atherosclerotic cardiovascular disease, so described",I25.0,65,0,0
24,Alabama,1,"Apr., 2018",2018/04,Atherosclerotic heart disease,I25.1,140,0,0
25,Alabama,1,"Apr., 2018",2018/04,Ischaemic cardiomyopathy,I25.5,15,0,0
26,Alabama,1,"Apr., 2018",2018/04,"Chronic ischaemic heart disease, unspecified",I25.9,54,0,0
27,Alabama,1,"May, 2018",2018/05,0,0,386,Ischaemic heart diseases,I20-I25
28,Alabama,1,"May, 2018",2018/05,"Acute myocardial infarction, unspecified",I21.9,110,0,0
29,Alabama,1,"May, 2018",2018/05,"Atherosclerotic cardiovascular disease, so described",I25.0,70,0,0
30,Alabama,1,"May, 2018",2018/05,Atherosclerotic heart disease,I25.1,120,0,0
31,Alabama,1,"May, 2018",2018/05,Ischaemic cardiomyopathy,I25.5,16,0,0
32,Alabama,1,"May, 2018",2018/05,"Chronic ischaemic heart disease, unspecified",I25.9,59,0,0
33,Alabama,1,"Jun., 2018",2018/06,0,0,389,Ischaemic heart diseases,I20-I25
34,Alabama,1,"Jun., 2018",2018/06,Acute subendocardial myocardial infarction,I21.4,11,0,0
35,Alabama,1,"Jun., 2018",2018/06,"Acute myocardial infarction, unspecified",I21.9,129,0,0
36,Alabama,1,"Jun., 2018",2018/06,"Atherosclerotic cardiovascular disease, so described",I25.0,76,0,0
37,Alabama,1,"Jun., 2018",2018/06,Atherosclerotic heart disease,I25.1,115,0,0
38,Alabama,1,"Jun., 2018",2018/06,"Chronic ischaemic heart disease, unspecified",I25.9,46,0,0
39,Alabama,1,"Jul., 2018",2018/07,0,0,457,Ischaemic heart diseases,I20-I25
40,Alabama,1,"Jul., 2018",2018/07,"Acute myocardial infarction, unspecified",I21.9,129,0,0
41,Alabama,1,"Jul., 2018",2018/07,"Atherosclerotic cardiovascular disease, so described",I25.0,85,0,0
42,Alabama,1,"Jul., 2018",2018/07,Atherosclerotic heart disease,I25.1,138,0,0
43,Alabama,1,"Jul., 2018",2018/07,Ischaemic cardiomyopathy,I25.5,15,0,0
44,Alabama,1,"Jul., 2018",2018/07,"Chronic ischaemic heart disease, unspecified",I25.9,78,0,0
45,Alabama,1,"Aug., 2018",2018/08,0,0,414,Ischaemic heart diseases,I20-I25
46,Alabama,1,"Aug., 2018",2018/08,Acute subendocardial myocardial infarction,I21.4,15,0,0
47,Alabama,1,"Aug., 2018",2018/08,"Acute myocardial infarction, unspecified",I21.9,112,0,0
48,Alabama,1,"Aug., 2018",2018/08,"Atherosclerotic cardiovascular disease, so described",I25.0,72,0,0
49,Alabama,1,"Aug., 2018",2018/08,Atherosclerotic heart disease,I25.1,115,0,0
50,Alabama,1,"Aug., 2018",2018/08,Ischaemic cardiomyopathy,I25.5,15,0,0
51,Alabama,1,"Aug., 2018",2018/08,"Chronic ischaemic heart disease, unspecified",I25.9,79,0,0
52,Alabama,1,"Sep., 2018",2018/09,0,0,373,Ischaemic heart diseases,I20-I25
53,Alabama,1,"Sep., 2018",2018/09,"Acute myocardial infarction, unspecified",I21.9,110,0,0
54,Alabama,1,"Sep., 2018",2018/09,"Atherosclerotic cardiovascular disease, so described",I25.0,86,0,0
55,Alabama,1,"Sep., 2018",2018/09,Atherosclerotic heart disease,I25.1,92,0,0
56,Alabama,1,"Sep., 2018",2018/09,Ischaemic cardiomyopathy,I25.5,16,0,0
57,Alabama,1,"Sep., 2018",2018/09,"Chronic ischaemic heart disease, unspecified",I25.9,59,0,0
58,Alabama,1,"Oct., 2018",2018/10,0,0,409,Ischaemic heart diseases,I20-I25
59,Alabama,1,"Oct., 2018",2018/10,"Acute myocardial infarction, unspecified",I21.9,130,0,0
60,Alabama,1,"Oct., 2018",2018/10,"Atherosclerotic cardiovascular disease, so described",I25.0,73,0,0
61,Alabama,1,"Oct., 2018",2018/10,Atherosclerotic heart disease,I25.1,122,0,0
62,Alabama,1,"Oct., 2018",2018/10,Ischaemic cardiomyopathy,I25.5,12,0,0
63,Alabama,1,"Oct., 2018",2018/10,"Chronic ischaemic heart disease, unspecified",I25.9,62,0,0
64,Alabama,1,"Nov., 2018",2018/11,0,0,394,Ischaemic heart diseases,I20-I25
65,Alabama,1,"Nov., 2018",2018/11,Acute subendocardial myocardial infarction,I21.4,10,0,0
66,Alabama,1,"Nov., 2018",2018/11,"Acute myocardial infarction, unspecified",I21.9,106,0,0
67,Alabama,1,"Nov., 2018",2018/11,"Atherosclerotic cardiovascular disease, so described",I25.0,65,0,0
68,Alabama,1,"Nov., 2018",2018/11,Atherosclerotic heart disease,I25.1,126,0,0
69,Alabama,1,"Nov., 2018",2018/11,Ischaemic cardiomyopathy,I25.5,16,0,0
70,Alabama,1,"Nov., 2018",2018/11,"Chronic ischaemic heart disease, unspecified",I25.9,65,0,0
71,Alabama,1,"Dec., 2018",2018/12,0,0,470,Ischaemic heart diseases,I20-I25
72,Alabama,1,"Dec., 2018",2018/12,"Acute myocardial infarction, unspecified",I21.9,131,0,0
73,Alabama,1,"Dec., 2018",2018/12,"Atherosclerotic cardiovascular disease, so described",I25.0,80,0,0
74,Alabama,1,"Dec., 2018",2018/12,Atherosclerotic heart disease,I25.1,157,0,0
75,Alabama,1,"Dec., 2018",2018/12,"Chronic ischaemic heart disease, unspecified",I25.9,80,0,0
76,Alabama,1,"Jan., 2019",2019/01,0,0,460,Ischaemic heart diseases,I20-I25
77,Alabama,1,"Jan., 2019",2019/01,Acute subendocardial myocardial infarction,I21.4,18,0,0
78,Alabama,1,"Jan., 2019",2019/01,"Acute myocardial infarction, unspecified",I21.9,130,0,0
79,Alabama,1,"Jan., 2019",2019/01,"Atherosclerotic cardiovascular disease, so described",I25.0,94,0,0
80,Alabama,1,"Jan., 2019",2019/01,Atherosclerotic heart disease,I25.1,132,0,0
81,Alabama,1,"Jan., 2019",2019/01,"Chronic ischaemic heart disease, unspecified",I25.9,74,0,0
82,Alabama,1,"Feb., 2019",2019/02,0,0,357,Ischaemic heart diseases,I20-I25
83,Alabama,1,"Feb., 2019",2019/02,"Acute myocardial infarction, unspecified",I21.9,91,0,0
84,Alabama,1,"Feb., 2019",2019/02,"Atherosclerotic cardiovascular disease, so described",I25.0,74,0,0
85,Alabama,1,"Feb., 2019",2019/02,Atherosclerotic heart disease,I25.1,126,0,0
86,Alabama,1,"Feb., 2019",2019/02,Ischaemic cardiomyopathy,I25.5,14,0,0
87,Alabama,1,"Feb., 2019",2019/02,"Chronic ischaemic heart disease, unspecified",I25.9,45,0,0
88,Alabama,1,"Mar., 2019",2019/03,0,0,483,Ischaemic heart diseases,I20-I25
89,Alabama,1,"Mar., 2019",2019/03,Acute subendocardial myocardial infarction,I21.4,13,0,0
90,Alabama,1,"Mar., 2019",2019/03,"Acute myocardial infarction, unspecified",I21.9,129,0,0
