State,2018,2019,2020,2021,2022,2023,2024
Alabama,"4,887,681","4,903,185","5,033,094","5,049,196","5,076,181","5,117,673","5,157,699"
Alaska,"735,139","731,545","733,017","734,420","734,442","736,510","740,133"
Arizona,"7,158,024","7,278,717","7,187,135","7,274,078","7,377,566","7,473,027","7,582,384"
Arkansas,"3,009,733","3,017,804","3,014,546","3,026,870","3,047,704","3,069,463","3,088,354"
California,"39,461,588","39,512,223","39,521,958","39,142,565","39,142,414","39,198,693","39,431,263"
Colorado,"5,691,287","5,758,736","5,787,129","5,814,036","5,850,935","5,901,339","5,957,493"
Connecticut,"3,571,520","3,565,287","3,579,918","3,606,607","3,617,925","3,643,023","3,675,069"
Delaware,"965,479","973,764","991,928","1,005,062","1,020,625","1,036,423","1,051,917"
District of Columbia,"701,547","705,749","670,917","669,256","676,725","687,324","702,250"
Florida,"21,244,317","21,477,737","21,592,035","21,831,949","22,379,312","22,904,868","23,372,215"
Georgia,"10,511,131","10,617,423","10,732,888","10,792,060","10,931,805","11,064,432","11,180,878"
Hawaii,"1,420,593","1,415,872","1,451,252","1,447,029","1,440,359","1,441,387","1,446,146"
Idaho,"1,750,536","1,787,065","1,849,415","1,904,848","1,944,299","1,971,122","2,001,619"
Illinois,"12,723,071","12,671,821","12,799,088","12,700,641","12,621,821","12,642,259","12,710,158"
Indiana,"6,695,497","6,732,219","6,790,497","6,815,907","6,844,545","6,880,131","6,924,275"
Iowa,"3,148,618","3,155,070","3,191,141","3,198,613","3,202,820","3,218,414","3,241,488"
Kansas,"2,911,359","2,913,314","2,938,172","2,938,338","2,937,324","2,951,500","2,970,606"
Kentucky,"4,461,153","4,467,673","4,508,318","4,507,583","4,519,233","4,550,595","4,588,372"
Louisiana,"4,659,690","4,648,794","4,652,301","4,627,971","4,593,687","4,588,071","4,597,740"
Maine,"1,339,057","1,344,212","1,364,571","1,378,931","1,390,922","1,399,646","1,405,012"
Maryland,"6,035,802","6,045,680","6,177,935","6,179,403","6,192,440","6,217,062","6,263,220"
Massachusetts,"6,882,635","6,892,503","6,994,598","7,000,474","7,022,468","7,066,568","7,136,171"
Michigan,"9,984,072","9,986,857","10,072,703","10,041,351","10,050,877","10,083,356","10,140,459"
Minnesota,"5,606,249","5,639,632","5,710,735","5,718,660","5,721,621","5,753,048","5,793,151"
Mississippi,"2,981,020","2,976,149","2,958,536","2,947,209","2,941,939","2,943,172","2,943,045"
Missouri,"6,121,623","6,137,428","6,154,744","6,171,374","6,179,414","6,208,038","6,245,466"
Montana,"1,060,665","1,068,778","1,087,230","1,106,522","1,122,095","1,131,302","1,137,233"
Nebraska,"1,925,614","1,934,408","1,963,387","1,964,537","1,972,246","1,987,864","2,005,465"
Nevada,"3,027,341","3,080,156","3,116,967","3,148,141","3,176,116","3,214,363","3,267,467"
New Hampshire,"1,353,465","1,359,711","1,378,756","1,387,677","1,396,678","1,402,199","1,409,032"
New Jersey,"8,886,025","8,882,190","9,272,794","9,270,541","9,295,227","9,379,642","9,500,851"
New Mexico,"2,092,741","2,096,829","2,118,606","2,117,333","2,113,868","2,121,164","2,130,256"
New York,"19,530,351","19,453,561","20,105,171","19,848,276","19,703,747","19,737,367","19,867,248"
North Carolina,"10,381,615","10,488,084","10,449,652","10,564,320","10,710,793","10,881,189","11,046,024"
North Dakota,"758,080","762,062","779,563","777,966","781,057","789,047","796,568"
Ohio,"11,676,341","11,689,100","11,798,905","11,767,344","11,777,874","11,824,034","11,883,304"
Oklahoma,"3,940,235","3,956,971","3,965,415","3,992,238","4,026,229","4,063,882","4,095,393"
Oregon,"4,181,886","4,217,737","4,243,779","4,254,280","4,247,372","4,253,653","4,272,371"
Pennsylvania,"12,800,922","12,801,989","12,996,143","13,015,571","12,984,990","13,017,721","13,078,751"
Rhode Island,"1,058,287","1,059,361","1,096,530","1,097,246","1,099,498","1,103,429","1,112,308"
South Carolina,"5,084,156","5,148,714","5,132,249","5,194,274","5,287,935","5,387,830","5,478,831"
South Dakota,"878,698","884,659","887,948","896,492","909,723","918,305","924,669"
Tennessee,"6,771,631","6,829,174","6,927,904","6,965,740","7,062,217","7,148,304","7,227,750"
Texas,"28,628,666","28,995,881","29,239,570","29,570,351","30,113,488","30,727,890","31,290,831"
Utah,"3,153,550","3,205,958","3,284,077","3,339,738","3,391,011","3,443,222","3,503,613"
Vermont,"624,358","623,989","642,977","647,210","648,142","648,708","648,493"
Virginia,"8,501,286","8,535,519","8,637,615","8,658,910","8,683,414","8,734,685","8,811,195"
Washington,"7,523,869","7,614,893","7,727,209","7,743,760","7,794,123","7,857,320","7,958,180"
West Virginia,"1,804,291","1,792,147","1,791,646","1,785,618","1,774,122","1,770,495","1,769,979"
Wisconsin,"5,807,406","5,822,434","5,897,375","5,881,608","5,903,975","5,930,405","5,960,975"
Wyoming,"577,601","578,759","577,681","579,636","581,978","585,067","587,618"
